label,mean_z
Precentral_R,0.8583542123071032
Frontal_Inf_Orb_L,0.7512410336593452
Temporal_Pole_Mid_L,0.7041561383421097
Cingulum_Post_R,0.6964432267969831
Insula_L,0.6890854297717665
Frontal_Inf_Tri_L,0.5376623921932502
Postcentral_R,0.5346049635884896
Temporal_Pole_Sup_L,0.4933437654013445
Supp_Motor_Area_R,0.4714761718621436
Olfactory_R,0.42842861206604865
Frontal_Inf_Oper_L,0.41496428853319023
Cingulum_Ant_L,0.38261197602981595
Temporal_Mid_L,0.38190365756372247
Amygdala_L,0.3742032964339402
Cerebelum_6_L,0.37406676558049257
Supp_Motor_Area_L,0.3722022320457419
Frontal_Sup_R,0.32775945259487776
Vermis_6,0.3051460008195251
Frontal_Mid_Orb_L,0.28625965502431766
Cerebelum_8_L,0.281268944840214
Cerebelum_7b_R,0.2602569789231312
Cingulum_Mid_R,0.25491746967907175
Pallidum_R,0.22294749335183783
Frontal_Sup_Medial_L,0.21348172153991937
Temporal_Inf_L,0.19921971713452763
Frontal_Sup_Medial_R,0.17851452468306353
Cingulum_Post_L,0.1602521976056361
Angular_L,0.15756045036331826
Cerebelum_9_L,0.14581578115340252
Occipital_Inf_L,0.12157948333963095
Cerebelum_Crus1_L,0.1212723375834017
SupraMarginal_L,0.11457423827831464
Cingulum_Mid_L,0.10928191178553881
Frontal_Mid_L,0.09716877465461085
Frontal_Med_Orb_R,0.08522470903277461
Paracentral_Lobule_R,0.08366215579015454
Vermis_4_5,0.07946271472957224
Frontal_Sup_Orb_L,0.07829684889898901
Temporal_Sup_L,0.07027298294208936
Fusiform_L,0.06689563102410732
Rectus_R,0.06683700968203984
Putamen_L,0.06567258522383497
Rectus_L,0.05257621350508227
Postcentral_L,0.049727631290281335
Cuneus_L,0.04145253406697247
Hippocampus_R,0.040422693982623326
Temporal_Inf_R,0.038414478814322126
Cerebelum_7b_L,0.032642393842601085
Occipital_Inf_R,0.025937115902743325
Frontal_Mid_R,0.0043662762827561
Rolandic_Oper_L,-0.0051150846430504035
Frontal_Sup_Orb_R,-0.005277656559043387
Frontal_Sup_L,-0.008940337781704989
Precentral_L,-0.03072616485323983
Occipital_Mid_L,-0.036814468934661296
Parietal_Sup_R,-0.04334650511230696
Occipital_Sup_L,-0.04563746019480176
Cerebelum_Crus2_L,-0.0620467794622928
Lingual_R,-0.08304362549700176
Cerebelum_8_R,-0.08577058015783884
Fusiform_R,-0.0972945141783225
Occipital_Sup_R,-0.10178826704474137
Precuneus_R,-0.11473045547363109
Cerebelum_4_5_L,-0.14061799929928506
Frontal_Mid_Orb_R,-0.1430508871986544
Frontal_Med_Orb_L,-0.14991878905386954
Vermis_10,-0.15245880401984055
Cerebelum_6_R,-0.1538070979777149
ParaHippocampal_L,-0.1582992692597087
Cerebelum_Crus2_R,-0.17339559252834455
Cerebelum_10_L,-0.19724709295238527
ParaHippocampal_R,-0.21101146673664167
Cerebelum_10_R,-0.21821311726375575
Caudate_L,-0.22273928816465025
Thalamus_R,-0.22851509440513534
Cingulum_Ant_R,-0.23753130788039745
Calcarine_L,-0.24596662187629206
Thalamus_L,-0.2627160796361836
Cerebelum_Crus1_R,-0.27272448989175135
Temporal_Pole_Mid_R,-0.2768255259649916
Calcarine_R,-0.2925924910903592
Pallidum_L,-0.34008216026030297
Caudate_R,-0.340807018373732
Cuneus_R,-0.3430147081414569
Vermis_3,-0.34853924754858345
Vermis_9,-0.35096465662547693
Lingual_L,-0.35585615299590434
Parietal_Inf_R,-0.39213759731204867
Temporal_Mid_R,-0.4009538137272015
Temporal_Pole_Sup_R,-0.42922378427862007
Frontal_Inf_Tri_R,-0.43998054746198956
Precuneus_L,-0.44390468622060353
Olfactory_L,-0.44689781500290215
Heschl_L,-0.4475487015138812
Frontal_Inf_Orb_R,-0.4766302633055944
Cerebelum_4_5_R,-0.49565937855728104
Occipital_Mid_R,-0.5304538337823388
Hippocampus_L,-0.5318983163325787
Parietal_Sup_L,-0.5424659704903703
Vermis_1_2,-0.561356490549893
Rolandic_Oper_R,-0.5958351210399544
Frontal_Inf_Oper_R,-0.6159043153573703
Parietal_Inf_L,-0.6419675174857333
Temporal_Sup_R,-0.6698726206766302
Amygdala_R,-0.6826262989941465
Cerebelum_9_R,-0.6841933313473105
Putamen_R,-0.7433622706064024
Vermis_7,-0.7581666325097246
Angular_R,-0.7977935829067415
Heschl_R,-0.8030501515504895
Insula_R,-0.8668194928048353
Paracentral_Lobule_L,-0.9300570881467831
Vermis_8,-0.990413935965365
Cerebelum_3_L,-1.0333804064650671
SupraMarginal_R,-1.078512614816436
Cerebelum_3_R,-1.2375609772037488
